user_input,reference
Cổng Dịch vụ Công có hỗ trợ tiếp nhận ý kiến từ người dân và tổ chức không?,"Có, Cổng hỗ trợ tiếp nhận phản ánh và kiến nghị từ cá nhân và tổ chức."
Cổng Dịch vụ Công Quốc gia có cho phép người dùng tra cứu thông tin gì?,Cổng cho phép tra cứu thủ tục hành chính và các quyết định công bố liên quan.
Người dân có thể thanh toán những khoản gì thông qua Cổng Dịch vụ Công Quốc gia?,"Người dân có thể thanh toán các khoản như thuế thu nhập cá nhân, bảo hiểm xã hội tự nguyện, bảo hiểm y tế, thuế/phí trước bạ nhà đất, tiền điện, tiền phạt vi phạm hành chính và tạm ứng án phí."
Cổng Dịch vụ Công Quốc gia hỗ trợ thanh toán trực tuyến cho những loại hình nào ngoài thủ tục hành chính?," Ngoài thủ tục hành chính, Cổng hỗ trợ thanh toán cho bảo hiểm xã hội, bảo hiểm y tế, thuế/phí nhà đất, tiền điện, tạm ứng án phí và tiền phạt vi phạm hành chính.
"
Khi nào thanh công cụ tìm kiếm cơ quan thực hiện thủ tục sẽ xuất hiện?,Thanh công cụ sẽ xuất hiện khi người dùng truy cập vào các trang thủ tục hành chính hoặc dịch vụ công trực tuyến trên Cổng Dịch vụ công Quốc gia.
Thanh công cụ tìm kiếm cơ quan thực hiện thủ tục có chức năng gì?,Cho phép người dùng tìm kiếm cơ quan thực hiện thủ tục một cách nhanh chóng và hiệu quả.
Người dùng cần chọn những tiêu chí nào để tìm kiếm cơ quan tiếp nhận thủ tục?,Người dùng cần chọn Tỉnh/Thành phố hoặc Bộ ngành và có thể chọn thêm Quận/Huyện hoặc Sở để lọc theo cấp hành chính nhỏ hơn.
Điều gì xảy ra nếu người dùng không chọn tiêu chí nào khi tìm kiếm cơ quan tiếp nhận?,Hệ thống sẽ hiển thị tất cả các cơ quan liên quan trên toàn quốc.
"Trong trường hợp không tìm thấy cơ quan tiếp nhận, người dùng nên làm gì?",Người dùng nên bỏ chọn các lựa chọn của Phường/Xã và Quận/Huyện rồi tìm kiếm lại hoặc hỏi trực tiếp cán bộ hỗ trợ.
Nguyên nhân nào có thể dẫn đến việc không tìm thấy cơ quan tiếp nhận trong kết quả tìm kiếm?,Do trong khu vực tìm kiếm chưa có cơ quan nào hỗ trợ cho dịch vụ công đó.
Vì sao cần chọn Tỉnh/Thành phố hoặc Bộ ngành khi sử dụng thanh tìm kiếm cơ quan tiếp nhận thủ tục?,"Để giới hạn phạm vi tìm kiếm, giúp hệ thống lọc ra các cơ quan phù hợp hơn."
Việc chọn Quận/Huyện hoặc Sở giúp ích gì trong quá trình tìm kiếm cơ quan tiếp nhận thủ tục?,"Giúp người dùng lọc kết quả theo cấp hành chính nhỏ hơn, chính xác hơn."
"Khi tìm kiếm cơ quan tiếp nhận thủ tục, trường hợp nào nên bỏ chọn Phường/Xã và Quận/Huyện?","Khi không tìm thấy cơ quan tiếp nhận, việc bỏ chọn hai tiêu chí này giúp mở rộng phạm vi tìm kiếm."
Có bao nhiêu bước để thực hiện một thủ tục hành chính trên Cổng Dịch vụ Công Quốc gia?,"Có 4 bước để thực hiện một thủ tục hành chính, dịch vụ công trực tuyến trên Cổng Dịch vụ Công Quốc gia."
Người dùng có thể tra cứu thủ tục hành chính bằng những cách nào?,"Có 3 cách: tìm kiếm theo từ khóa ở trang chủ/trang công dân/trang doanh nghiệp, chọn từ sự kiện công dân/doanh nghiệp, hoặc chọn từ danh sách dịch vụ công trực tuyến."
Người dân có thể đăng ký tài khoản công dân bằng những cách nào?,"Có thể đăng ký bằng Sim ký số, USB ký số, thuê bao di động hoặc mã số BHXH."
Các hình thức đăng nhập tài khoản công dân/doanh nghiệp trên Cổng DVCQG là gì?,"Có thể đăng nhập bằng Sim ký số, USB ký số hoặc CMT/CCCD."
"Sau khi đăng nhập cổng DVCQG, người dùng sẽ được điều hướng đến đâu để nộp hồ sơ?","Cổng sẽ điều hướng về Cổng của Bộ, Ngành hoặc Địa phương nơi đăng ký thực hiện thủ tục."
Người dùng có thể tra cứu tình trạng hồ sơ bằng cách nào?,Người dùng sử dụng mã số hồ sơ được cấp để tra cứu tình trạng trên Cổng DVCQG.
Vì sao người dân cần đăng nhập khi muốn theo dõi chi tiết tiến trình xử lý hồ sơ?,"Vì chỉ khi đăng nhập, người dân mới có thể xem chi tiết dữ liệu đầu vào, đầu ra và tiến trình xử lý hồ sơ.
"
Mã số hồ sơ được dùng để làm gì trên Cổng DVCQG?,Để tra cứu và theo dõi tình trạng xử lý hồ sơ.
"Để theo dõi chi tiết tiến trình xử lý hồ sơ, người dùng cần làm gì?",Cần đăng nhập vào hệ thống.
Sau bao nhiêu bước người dân có thể nộp hồ sơ trực tuyến?,"Sau khi hoàn thành 3 bước đầu (tra cứu – chọn cơ quan – đăng nhập), người dân thực hiện bước 4 là nộp hồ sơ."
Cho tôi biết quy trình tổng quát để đăng ký 1 thủ tục hành chính trên Cổng DVC.,"Quy trình gồm 4 bước:
1. Tra cứu thủ tục qua từ khóa, sự kiện hoặc danh sách dịch vụ công.
2. Chọn cơ quan thực hiện theo thông tin thủ tục.
3. Đăng ký/đăng nhập tài khoản bằng sim ký số, USB ký số, CMT/CCCD, mã BHXH hoặc thuê bao di động.
4. Nộp hồ sơ và theo dõi tình trạng bằng mã hồ sơ trên Cổng DVC."
Thủ tục đăng ký thường trú thuộc nhóm chức năng nào trên Cổng DVCQG?,Nhóm “Cư trú và giấy tờ tùy thân” trong phần “Công dân”.
"Sau khi nộp hồ sơ đăng ký thường trú, người dân nên làm gì tiếp theo?",Theo dõi tình trạng hồ sơ trên Cổng DVCQG.
Người dân có thể thực hiện thủ tục đăng ký thường trú hoàn toàn trực tuyến không?,"Có, quy trình được thực hiện trực tuyến qua Cổng Dịch vụ công Quốc gia."
"Thủ tục ""Đăng ký thường trú"" nằm ở cấp nào của hệ thống danh mục trên cổng?","Nằm dưới ""Công dân"" → ""Cư trú và giấy tờ tùy thân"" → ""Hộ khẩu""."
Hướng dẫn tôi đăng ký thường trú trên cổng DVC,"Để đăng ký thường trú trên Cổng Dịch vụ công Quốc gia, bạn thực hiện theo các bước sau:
1. Truy cập vào trang web www.dichvucong.gov.vn.
2. Từ trang chủ, chọn mục ""Cư trú và giấy tờ tùy thân"" trong phần ""Công dân"", sau đó chọn ""Hộ khẩu"".
3. Chọn thủ tục ""Đăng ký thường trú"".
4. Chọn cơ quan thực hiện thủ tục phù hợp với nơi cư trú mới.
5. Điền đầy đủ thông tin, nộp hồ sơ và theo dõi tình trạng xử lý trên hệ thống."
"Tôi mới chuyển nhà, hãy hỗ trợ tôi đăng ký thường trú trực tuyến","Bạn có thể đăng ký thường trú trực tuyến sau khi chuyển nhà bằng cách:
1. Truy cập Cổng Dịch vụ công Quốc gia tại www.dichvucong.gov.vn.
2. Chọn phần ""Công dân"" → ""Cư trú và giấy tờ tùy thân"" → ""Hộ khẩu"".
3. Tìm và chọn thủ tục ""Đăng ký thường trú"".
4. Chọn cơ quan có thẩm quyền tại địa phương nơi bạn chuyển đến.
5. Điền thông tin, nộp hồ sơ trực tuyến và theo dõi quá trình xử lý qua tài khoản trên cổng."
Tôi cần hỗ trợ đăng ký thường trú trực tuyến,"Để đăng ký thường trú trực tuyến, bạn làm như sau:
1. Vào trang www.dichvucong.gov.vn.
2. Trên trang chủ, vào mục ""Cư trú và giấy tờ tùy thân"" trong phần ""Công dân"", chọn ""Hộ khẩu"".
3. Nhấn chọn thủ tục ""Đăng ký thường trú"".
4. Lựa chọn cơ quan phù hợp để nộp hồ sơ.
5. Điền đầy đủ thông tin, gửi hồ sơ trực tuyến và theo dõi tiến trình xử lý trên hệ thống.

"
Mã thủ tục hành chính cho việc đăng ký thường trú là gì?,Mã thủ tục là 1.004222.
Số quyết định liên quan đến thủ tục đăng ký thường trú là bao nhiêu?,Số quyết định là 370.
Tên chính thức của thủ tục được đề cập trong tài liệu là gì?,Tên thủ tục là Đăng ký thường trú.
Thủ tục đăng ký thường trú được thực hiện ở cấp nào?,Thủ tục đăng ký thường trú được thực hiện ở Cấp Xã.
Thủ tục đăng ký thường trú thuộc loại thủ tục hành chính nào?,Đây là loại TTHC được luật giao quy định chi tiết.
Lĩnh vực quản lý của thủ tục đăng ký thường trú là gì?,"Lĩnh vực là Đăng ký, quản lý cư trú."
Đối tượng nào có thể thực hiện thủ tục đăng ký thường trú?,"Đối tượng thực hiện là Công dân Việt Nam và Tổ chức (không bao gồm doanh nghiệp, HTX)."
Cơ quan nào trực tiếp thực hiện thủ tục đăng ký thường trú?,Cơ quan thực hiện là Công an Xã.
Cơ quan nào có thẩm quyền quyết định việc đăng ký thường trú?,Cơ quan có thẩm quyền là Công an Xã.
"Yêu cầu, điều kiện bắt buộc để thực hiện thủ tục đăng ký thường trú là gì?","Người thực hiện thủ tục đã được thu thập, cập nhật thông tin công dân vào Cơ sở dữ liệu quốc gia về dân cư, Cơ sở dữ liệu về cư trú."
Kết quả thực hiện thủ tục đăng ký thường trú có thể bao gồm những gì?,"Kết quả bao gồm: Cập nhật thông tin trong Cơ sở dữ liệu quốc gia về dân cư, Thông báo kết quả giải quyết thủ tục về cư trú, hủy bỏ thủ tục về cư trú, Cập nhật thông tin trong Cơ sở dữ liệu về cư trú, Phiếu từ chối tiếp nhận, giải quyết hồ sơ."
Bước đầu tiên trong trình tự thực hiện đăng ký thường trú là gì?,Bước 1: Cá nhân chuẩn bị hồ sơ theo quy định của pháp luật.
"Sau khi chuẩn bị hồ sơ, cá nhân cần làm gì để đăng ký thường trú?",Bước 2: Cá nhân nộp hồ sơ đến Công an cấp xã.
"Khi tiếp nhận hồ sơ đăng ký thường trú, cơ quan đăng ký cư trú sẽ làm gì đầu tiên?",Cơ quan đăng ký cư trú kiểm tra tính pháp lý và nội dung hồ sơ.
Cơ quan đăng ký cư trú khai thác thông tin chứng minh chỗ ở hợp pháp để đăng ký thường trú từ những nguồn nào?,"Từ căn cước điện tử, tài khoản định danh điện tử, Cơ sở dữ liệu quốc gia về dân cư, Cơ sở dữ liệu về cư trú, Kho quản lý dữ liệu điện tử, Cổng dịch vụ công quốc gia, hoặc các cơ sở dữ liệu khác."
"Nếu không khai thác được thông tin từ các hệ thống, cơ quan đăng ký cư trú có trách nhiệm gì trong thủ tục đăng ký thường trú?","Cơ quan đăng ký cư trú có trách nhiệm kiểm tra, xác minh để giải quyết thủ tục về cư trú."
"Trong trường hợp hồ sơ đăng ký thường trú đầy đủ và hợp lệ, người đăng ký sẽ nhận được phiếu gì?",Người đăng ký sẽ nhận được Phiếu tiếp nhận hồ sơ và hẹn trả kết quả (Mẫu CT04).
Mẫu Phiếu tiếp nhận hồ sơ và hẹn trả kết quả cho thủ tục đăng ký thường trú là mẫu nào?,Mẫu CT04 ban hành kèm theo Thông tư số 66/2023/TT-BCA.
"Nếu hồ sơ đăng ký thường trú đủ điều kiện nhưng chưa đầy đủ, người đăng ký sẽ nhận được phiếu gì?","Người đăng ký sẽ nhận được Phiếu hướng dẫn bổ sung, hoàn thiện hồ sơ (Mẫu CT05)."
"Mẫu Phiếu hướng dẫn bổ sung, hoàn thiện hồ sơ đăng ký thường trú là mẫu nào?",Mẫu CT05 ban hành kèm theo Thông tư số 66/2023/TT-BCA.
"Trong trường hợp hồ sơ đăng ký thường trú không đủ điều kiện, người đăng ký sẽ nhận được phiếu gì?","Người đăng ký sẽ nhận được Phiếu từ chối tiếp nhận, giải quyết hồ sơ (Mẫu CT06)."
"Mẫu Phiếu từ chối tiếp nhận, giải quyết hồ sơ đăng ký thường trú là mẫu nào?",Mẫu CT06 ban hành kèm theo Thông tư số 66/2023/TT-BCA.
Bước thứ tư trong trình tự thực hiện đăng ký thường trú là gì?,Bước 4: Cá nhân nộp lệ phí đăng ký thường trú theo quy định.
Bước cuối cùng trong trình tự đăng ký thường trú là gì?,Bước 5: Căn cứ theo ngày hẹn trên Phiếu tiếp nhận hồ sơ và hẹn trả kết quả để nhận thông báo kết quả giải quyết thủ tục đăng ký cư trú.
"Đối với công dân Việt Nam định cư ở nước ngoài không có hộ chiếu hợp lệ, hồ sơ đăng ký thường trú sẽ được chuyển đến đâu để kiểm tra?","Hồ sơ sẽ được chuyển đến cơ quan quản lý xuất, nhập cảnh Công an tỉnh, thành phố trực thuộc Trung ương."
"Hồ sơ đề nghị xác nhận nơi thường xuyên đậu, đỗ của phương tiện để đăng ký thường trú sẽ được chuyển đến cơ quan nào để giải quyết?","Hồ sơ sẽ được chuyển đến Ủy ban nhân dân cấp xã để xem xét, giải quyết."
Tờ khai cần thiết cho hầu hết các trường hợp đăng ký thường trú là mẫu nào?,Tờ khai thay đổi thông tin cư trú (Mẫu CT01 ban hành kèm theo Thông tư số 66/2023/TT-BCA).
Người Việt Nam định cư ở nước ngoài cần dùng tờ khai nào để đăng ký thường trú nếu hộ chiếu Việt Nam bị mất hoặc hết hạn?,Sử dụng Tờ khai thay đổi thông tin về cư trú (dùng cho người Việt Nam định cư ở nước ngoài) (mẫu CT02 ban hành kèm theo Thông tư số 66/2023/TT-BCA).
Hồ sơ đăng ký thường trú tại phương tiện lưu động cần giấy tờ gì về phương tiện?,Cần Giấy chứng nhận đăng ký phương tiện và giấy chứng nhận an toàn kỹ thuật và bảo vệ môi trường của phương tiện.
"Nếu phương tiện không thuộc đối tượng phải đăng ký, đăng kiểm, cần văn bản gì để đăng ký thường trú tại đó?",Cần văn bản xác nhận của Ủy ban nhân dân cấp xã về việc sử dụng phương tiện đó vào mục đích để ở.
"Khi đăng ký thường trú tại phương tiện không phải của mình, tờ khai cần có nội dung gì đặc biệt?",Tờ khai phải ghi rõ ý kiến đồng ý cho đăng ký thường trú của chủ phương tiện hoặc người được ủy quyền.
Hồ sơ đăng ký thường trú cho người được cơ sở trợ giúp xã hội nhận nuôi dưỡng cần văn bản gì từ cơ sở đó?,Cần văn bản đề nghị của người đứng đầu cơ sở trợ giúp xã hội.
"Ngoài tờ khai, hồ sơ đăng ký thường trú cho người được chăm sóc, nuôi dưỡng cần giấy tờ gì?","Cần Giấy tờ, tài liệu xác nhận về việc chăm sóc, nuôi dưỡng, trợ giúp."
"Khi đăng ký thường trú cho người được hộ gia đình nhận nuôi dưỡng, tờ khai cần có ý kiến của ai?","Cần có ý kiến đồng ý của chủ hộ nhận chăm sóc, nuôi dưỡng và chủ sở hữu chỗ ở hợp pháp."
Hồ sơ đăng ký thường trú tại chỗ ở hợp pháp thuộc quyền sở hữu của mình cần giấy tờ gì?,"Cần Giấy tờ, tài liệu chứng minh việc sở hữu chỗ ở hợp pháp."
Khi nào công dân không cần xuất trình giấy tờ chứng minh sở hữu khi đăng ký thường trú tại chỗ ở của mình?,"Khi thông tin chứng minh về chỗ ở hợp pháp đã có trong cơ sở dữ liệu chuyên ngành đã được kết nối, chia sẻ với cơ quan đăng ký cư trú."
"Khi đăng ký thường trú tại chỗ ở do thuê, mượn, ở nhờ, tờ khai cần có ý kiến của ai?","Cần có ý kiến đồng ý cho đăng ký thường trú của chủ hộ, chủ sở hữu chỗ ở hợp pháp hoặc người được ủy quyền."
Vợ về ở với chồng có được đăng ký thường trú tại chỗ ở không thuộc quyền sở hữu của mình không?,"Có, khi được chủ hộ và chủ sở hữu chỗ ở hợp pháp đó đồng ý."
Chồng về ở với vợ có được đăng ký thường trú tại chỗ ở không thuộc quyền sở hữu của mình không?,"Có, khi được chủ hộ và chủ sở hữu chỗ ở hợp pháp đó đồng ý."
Con về ở với cha mẹ có được đăng ký thường trú tại chỗ ở không thuộc quyền sở hữu của mình không?,"Có, khi được chủ hộ và chủ sở hữu chỗ ở hợp pháp đó đồng ý."
Cha mẹ về ở với con có được đăng ký thường trú tại chỗ ở không thuộc quyền sở hữu của mình không?,"Có, khi được chủ hộ và chủ sở hữu chỗ ở hợp pháp đó đồng ý."
"Người cao tuổi có thể đăng ký thường trú tại nhà của anh, chị, em ruột không?","Có, khi được chủ hộ và chủ sở hữu chỗ ở hợp pháp đó đồng ý."
"Người khuyết tật nặng có thể đăng ký thường trú tại nhà của ông bà nội, ngoại, anh chị em ruột, bác, chú, cậu, cô, dì ruột không?","Có, khi được chủ hộ và chủ sở hữu chỗ ở hợp pháp đó đồng ý."
Người chưa thành niên không còn cha mẹ có thể đăng ký thường trú ở đâu?,"Có thể về ở với cụ nội, cụ ngoại, ông nội, bà nội, ông ngoại, bà ngoại, anh ruột, chị ruột, em ruột, bác ruột, chú ruột, cậu ruột, cô ruột, dì ruột."
"Ai có thể đăng ký thường trú tại cơ sở tín ngưỡng, tôn giáo có công trình phụ trợ là nhà ở?","Trẻ em, người khuyết tật đặc biệt nặng, người khuyết tật nặng, người không nơi nương tựa."
"Khi đăng ký thường trú cho trẻ em tại cơ sở tín ngưỡng, tờ khai cần có ý kiến của ai?","Cần ý kiến đồng ý của người đại diện hoặc ban quản lý cơ sở tín ngưỡng, người đứng đầu hoặc người đại diện cơ sở tôn giáo."
"Hồ sơ đăng ký thường trú tại cơ sở tín ngưỡng cho trẻ em, người không nơi nương tựa cần văn bản xác nhận gì từ chính quyền địa phương?",Cần văn bản xác nhận của Ủy ban nhân dân cấp xã về người thuộc đối tượng và việc cơ sở có công trình phụ trợ là nhà ở.
Đối tượng hoạt động tôn giáo nào được đăng ký thường trú tại cơ sở tôn giáo?,"Người hoạt động tôn giáo được phong phẩm, bổ nhiệm, bầu cử, suy cử, phân công, thuyên chuyển đến hoạt động tôn giáo tại cơ sở tôn giáo."
Ai khác ngoài người hoạt động tôn giáo được đăng ký thường trú tại cơ sở tín ngưỡng?,"Người đại diện cơ sở tín ngưỡng; người được người đại diện hoặc ban quản lý đồng ý cho đăng ký để trực tiếp quản lý, tổ chức hoạt động."
Hồ sơ đăng ký thường trú cho người hoạt động tôn giáo cần giấy tờ gì để chứng minh tư cách?,"Cần giấy tờ, tài liệu chứng minh là chức sắc, chức việc, nhà tu hành hoặc người khác hoạt động tôn giáo và được hoạt động tại cơ sở tôn giáo đó."
Hồ sơ đăng ký thường trú tại nơi đơn vị đóng quân trong Công an nhân dân cần giấy tờ gì?,Cần Giấy giới thiệu của Thủ trưởng đơn vị quản lý trực tiếp.
Nội dung của giấy giới thiệu để đăng ký thường trú tại đơn vị Công an nhân dân cần ghi rõ điều gì?,Ghi rõ nội dung để làm thủ tục đăng ký thường trú và đơn vị có chỗ ở cho cán bộ chiến sĩ.
Hồ sơ đăng ký thường trú tại nơi đơn vị đóng quân trong Quân đội nhân dân cần giấy giới thiệu của đơn vị cấp nào?,Cần Giấy giới thiệu đăng ký thường trú của đơn vị cấp trung đoàn và tương đương trở lên.
Mẫu Tờ khai thay đổi thông tin cư trú CT01 dùng để đăng ký thường trú được ban hành kèm theo Thông tư nào?,Mẫu CT01 được ban hành kèm theo Thông tư số 66/2023/TT-BCA.
Mẫu Tờ khai CT02 (dành cho người Việt Nam định cư ở nước ngoài) để đăng ký thường trú được ban hành kèm theo Thông tư nào?,Mẫu CT02 được ban hành kèm theo Thông tư số 66/2023/TT-BCA.
"Thông tư nào ban hành các mẫu phiếu CT04, CT05, CT06 được sử dụng trong quy trình đăng ký thường trú?",Thông tư số 66/2023/TT-BCA.
Người bị bệnh tâm thần làm mất khả năng nhận thức có thể đăng ký thường trú tại nhà người thân không?,"Có, có thể về ở với ông nội, bà nội, ông ngoại, bà ngoại, anh ruột, chị ruột, em ruột, bác ruột, chú ruột, cậu ruột, cô ruột, dì ruột, cháu ruột, người giám hộ."
Người không có khả năng lao động có thể đăng ký thường trú tại nhà cháu ruột không?,"Có, khi được chủ hộ và chủ sở hữu chỗ ở hợp pháp đó đồng ý."
"Để đăng ký thường trú, văn bản xác nhận của UBND cấp xã là cần thiết trong những trường hợp nào?","Cần thiết khi đăng ký thường trú trên phương tiện không cần đăng ký; nơi đậu đỗ phương tiện không trùng nơi đăng ký; và khi đăng ký tại cơ sở tín ngưỡng, tôn giáo."
"Ai là người ký tên, đóng dấu trên giấy giới thiệu để đăng ký thường trú tại đơn vị Công an nhân dân?",Thủ trưởng đơn vị quản lý trực tiếp.
Trường hợp nào khi đăng ký thường trú không thuộc sở hữu của mình không cần ghi ý kiến đồng ý vào tờ khai?,Khi đã có ý kiến đồng ý bằng văn bản riêng.
Người đại diện cơ sở tín ngưỡng có được đăng ký thường trú tại cơ sở tín ngưỡng không?,"Có, được đăng ký thường trú tại cơ sở tín ngưỡng."
Hồ sơ đăng ký thường trú cho người đại diện cơ sở tín ngưỡng cần giấy tờ gì để chứng minh?,"Cần giấy tờ, tài liệu chứng minh là người đại diện cơ sở tín ngưỡng."
Văn bản xác nhận của UBND cấp xã về cơ sở tôn giáo cần xác nhận nội dung gì để đủ điều kiện đăng ký thường trú?,"Cần xác nhận việc trong cơ sở tín ngưỡng, cơ sở tôn giáo có công trình phụ trợ là nhà ở."
Người chưa thành niên về ở với người giám hộ có thể đăng ký thường trú tại nơi ở của người giám hộ không?,"Có, khi được cha, mẹ hoặc người giám hộ đồng ý hoặc không còn cha mẹ."
Một người có thể đăng ký thường trú tại chỗ ở do ở nhờ được không?,"Có, khi được chủ hộ và chủ sở hữu chỗ ở hợp pháp đồng ý."
"Khi đăng ký thường trú trên phương tiện, nếu nơi đăng ký phương tiện không trùng với nơi thường xuyên đậu, đỗ thì cần văn bản gì?","Cần văn bản xác nhận của Ủy ban nhân dân cấp xã về địa điểm phương tiện đăng ký đậu, đỗ thường xuyên."
Ai xem xét cấp văn bản đồng ý cho giải quyết thường trú đối với công dân Việt Nam định cư ở nước ngoài không có hộ chiếu còn giá trị sử dụng?,"Cơ quan quản lý xuất, nhập cảnh Bộ Công an."
Tờ khai CT02 được sử dụng để đăng ký thường trú trong trường hợp nào của người Việt Nam định cư ở nước ngoài?,"Khi nhập cảnh vào Việt Nam lần gần nhất bằng hộ chiếu do nước ngoài cấp, giấy tờ thay thế hộ chiếu do nước ngoài cấp, giấy tờ khác do cơ quan thẩm quyền Việt Nam cấp, hoặc sử dụng hộ chiếu Việt Nam nhưng bị mất, hết hạn."
Người được người đại diện cơ sở tín ngưỡng đồng ý cho đăng ký thường trú để làm gì?,"Để trực tiếp quản lý, tổ chức hoạt động tín ngưỡng tại cơ sở tín ngưỡng."
"Khi truy cập trang www.dichvucong.gov.vn, người dùng sẽ thấy các mục nào trong thanh menu chính?","Trong thanh menu chính có các mục: Giới thiệu, Thông tin và dịch vụ, Thanh toán trực tuyến, Phản ánh kiến nghị, Thủ tục hành chính, Hỗ trợ."
"Tôi muốn tìm kiếm thủ tục trên Cổng Dịch vụ Công Quốc gia, phần tìm kiếm được bố trí ở đâu?","Phần tìm kiếm nằm ở phần chính của trang, với một thanh tìm kiếm lớn và có nút tìm kiếm nâng cao."
Phần nội dung chính của trang chủ Cổng Dịch vụ Công hiển thị thông tin gì từ Chính phủ?,Phần chính hiển thị tin tức nổi bật từ Chính phủ.
Cổng Dịch vụ Công Quốc gia cung cấp những lĩnh vực nào phổ biến dành riêng cho công dân?,"Lĩnh vực phổ biến cho công dân gồm: Có con nhỏ, Học tập, Việc làm, Cư trú và giấy tờ tùy thân, Hôn nhân và gia đình, Điện lực – nhà ở – đất đai, Sức khỏe – y tế, Phương tiện – người lái, Hưu trí, Người thân qua đời, Giải quyết khiếu kiện."
"Là doanh nghiệp mới thành lập, tôi có thể tìm thấy nội dung gì trên trang chính Cổng Dịch vụ Công?","Doanh nghiệp có thể tìm thấy các lĩnh vực phổ biến như: Khởi sự kinh doanh, Lao động và bảo hiểm xã hội, Tài chính doanh nghiệp, Điện lực – đất đai – xây dựng, Thương mại – quảng cáo, Sở hữu trí tuệ – đăng ký tài sản, Thành lập chi nhánh – văn phòng đại diện, Đấu thầu – mua sắm công, Tái cấu trúc doanh nghiệp, Giải quyết tranh chấp hợp đồng, Tạm dừng – chấm dứt hoạt động."
Thông tin liên hệ và hỗ trợ kỹ thuật của Cổng Dịch vụ Công được đặt ở đâu trên website?,"Các thông tin này nằm ở chân trang, bao gồm: Cơ quan chủ quản: Văn phòng Chính phủ; Tổng đài hỗ trợ: 18001096; Email: dichvucong@chinhphu.vn."
"Nếu tôi muốn gửi phản ánh về thủ tục hành chính, mục nào trên trang chính nên truy cập?","Bạn nên truy cập mục ""Phản ánh kiến nghị"" nằm trong thanh menu chính của trang."
"Tôi cần tìm hiểu thủ tục hành chính trên trang www.dichvucong.gov.vn, tôi nên vào đâu?","Bạn nên chọn mục ""Thủ tục hành chính"" trong thanh menu chính."
Cổng Dịch vụ Công có hỗ trợ thanh toán trực tuyến không và mục đó nằm ở đâu?,"Có, mục ""Thanh toán trực tuyến"" nằm trong thanh menu chính."
Ai là cơ quan chủ quản của Cổng Dịch vụ Công Quốc gia?,Cơ quan chủ quản là Văn phòng Chính phủ.
"Trên trang chính Cổng DVCQG, có mục nào hỗ trợ người dân phản ánh các vấn đề liên quan đến dịch vụ công?","Có, mục “Phản ánh kiến nghị” nằm trong thanh menu chính."
"Tôi muốn nhận hỗ trợ từ Cổng DVCQG, có mục nào riêng cho việc này không?","Có, mục “Hỗ trợ” nằm trong thanh menu chính của trang."
Các tin tức từ Chính phủ được hiển thị ở đâu trên trang chính Cổng DVCQG?,"Được hiển thị trong phần chính của trang, dưới thanh tìm kiếm."
